brand_id,product_id,product_name
1000,1,The Performer Skin-focused Foundation
1001,2,Skin-Enhancing Stick
1001,3,Skin-Enhancing Concealer
1001,4,Skin-Enhancing Tinted Moisturizer
1002,5,Color Control Cushion Compact Broad Spectrum SPF 50 +
1003,6,Impeccable Blurring Second-Skin Matte Foundation
1003,7,Beauty Balm Serum Boosted Skin Tint
1003,8,Magic Touch Medium to Full Coverage Concealer
1003,9,Luminous Foundation
1004,10,Luminous Silk Perfect Natural Glow Foundation
1004,11,Power Fabric + Foundation
1004,12,Power Fabric  +  Longwear Matte Concealer
1004,13,Luminous Silk Face and Under-Eye Concealer
1004,14,Neo Nude Tinted Moisturizer
1005,15,Semi-Matte Powder Foundation
1005,16,Zero Gravity C2P Foundation
1005,17,Creme Starter Kit
1005,18,Completely Covered Creme Concealer
1006,19,BAREPRO® 24HR Skin-Perfecting Powder Foundation
1006,20,ORIGINAL Loose Powder Foundation SPF 15
1006,21,ORIGINAL Pure Serum Radiant Natural Liquid Foundation Mineral SPF 20
1006,22,BAREPRO® 16HR All Over Skin-Perfecting Matte Concealer Mineral SPF 25
1006,23,Loose Powder Concealer SPF 20
1006,24,ORIGINAL Liquid Mineral Concealer
1006,25,COMPLEXION RESCUE® Brightening Under Eye Concealer SPF 25
1006,26,COMPLEXION RESCUE® Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30
1006,27,COMPLEXION RESCUE® Natural Matte Tinted Moisturizer Mineral SPF 30
1006,28,COMPLEXION RESCUE® All-Over Luminizer Mineral SPF 20
1007,29,"The Foundation Stick for Hydrating, Buildable Coverage and Natural Finish"
1008,30,Bounce™ Liquid Whip Long Wear Foundation
1008,31,12-Hour Always on Radiant Skin Tint with Hyaluronic Acid & Niacinamide
1009,32,TRUE COLOR® Pore Perfecting Crème Powder Foundation
1009,33,TRUE COLOR® Skin Perfecting Stick Foundation SPF 15
1009,34,TRUE COLOR® Pore Perfecting Liquid Foundation
1009,35,Even True™ Flawless Liquid Foundation
1009,36,TRUE COLOR® Mineral Matte Crème Powder Foundation SPF 15
1009,37,TOTAL COVERAGE™ Concealing Foundation
1009,38,True Tone Brightening Concealer
1009,39,TOTAL COVERAGE™ Face +  Body Concealer
1010,40,Skin Foundation SPF 15
1010,41,Skin Full Cover Concealer
1010,42,Weightless Skin Foundation SPF 15
1010,43,Skin Corrector Stick
1010,44,Intensive Serum Foundation SPF 40/30
1010,45,Skin Weightless Powder Foundation
1010,46,Skin Foundation Stick
1010,47,Skin Full Coverage Longwear Concealer
1010,48,Under Eye Color Corrector
1010,49,Vitamin Enriched Skin Tinted Moisturizer SPF 15
1010,50,Skin Long-Wear Weightless Foundation SPF 15
1010,51,Skin Concealer Stick
1010,52,Intensive Serum Concealer
1011,53,Mattifying Powder Foundation
1012,54,Freedoming Skin Tint
1012,55,Hideaway Brightening  +  Hydrating Under Eye Color Corrector Concealer
1013,56,LES BEIGES Water-Fresh Complexion Touch
1013,57,LE CORRECTEUR DE CHANEL Longwear Concealer
1013,58,ULTRA LE TEINT Ultrawear All-Day Comfort Flawless Finish Foundation
1013,59,LES BEIGES Healthy Glow Foundation Hydration and Longwear
1013,60,LES BEIGES Water-Fresh Tint
1013,61,N°1 DE CHANEL REVITALIZING FOUNDATION
1013,62,SUBLIMAGE L'ESSENCE DE TEINT Ultimate Radiance-Generating Serum Foundation
1013,63,SUBLIMAGE LE TEINT Ultimate Radiance - Generating Cream Foundation
1013,64,VITALUMIERE AQUA Ultra-Light Skin Perfecting Sunscreen Makeup Broad Spectrum SPF 15
1013,65,VITALUMIERE AQUA Ultra-Light Skin Perfecting Sunscreen Makeup Broad Spectrum SPF 16
1013,66,VITALUMIERE AQUA Ultra-Light Skin Perfecting Sunscreen Makeup Broad Spectrum SPF 17
